mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-01,orders,order_id,both,$.orderHeaders[*].orderID,/OperationsExport/Orders/Order/Header/Order_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-02,orders,source_system_record_id,both,$.orderHeaders[*].sourceSystemRecordID,/OperationsExport/Orders/Order/Header/Source_System_Record_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-03,orders,customer_id,both,$.orderHeaders[*].customerID,/OperationsExport/Orders/Order/Header/Customer_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-04,orders,order_timestamp,both,$.orderHeaders[*].orderTimestamp,/OperationsExport/Orders/Order/Header/Order_Timestamp,Parse the source-specific timestamp format and output YYYY-MM-DD HH:MM:SS.,Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-05,orders,sales_channel,both,$.orderHeaders[*].salesChannel,/OperationsExport/Orders/Order/Header/Sales_Channel,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-06,orders,payment_method,both,$.orderHeaders[*].paymentMethod,/OperationsExport/Orders/Order/Header/Payment_Method,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-07,orders,currency,both,$.orderHeaders[*].currency,/OperationsExport/Orders/Order/Header/Currency,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-08,orders,nearest_warehouse,both,$.orderHeaders[*].nearestWarehouse,/OperationsExport/Orders/Order/Header/Nearest_Warehouse,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-09,orders,order_status,both,$.orderHeaders[*].orderStatus,/OperationsExport/Orders/Order/Header/Order_Status,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.8 and 2.1 (orders)
MAP-orders-10,orders,order_price,derived,$.orderHeaders[*].orderPrice,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price | /OperationsExport/Orders/Order/Header/Order_Price,Calculate as the sum of rounded line_revenue values for the order; round to 2 decimals; compare with supplied JSON/XML order price.,Calculate from canonical inputs using the published arithmetic order; compare with supplied value(s); record any mismatch instead of overwriting it.,Sections 1.7-1.8 and 2.1 (orders)
