customer_id,signup_date,loyalty_tier,customer_segment,age_band,preferred_channel,home_suburb,prior_12m_orders,lifetime_value_before_period,marketing_consent,home_postcode,home_state,home_country,preferred_language,acquisition_source,account_status,preferred_device,email_domain,household_size_band,contact_frequency_preference
CUS00001,2017-06-21,Silver,Value,45-54,Store,Northcote,19.0,14969.0,False,3070,VIC,Australia,ar,Paid Search,Active,Mobile,example.net,5+,Monthly
CUS00002,2017-01-01,Bronze,Mainstream,45-54,Mobile,Docklands,0.0,850.97,True,3008,VIC,Australia,de,Paid Search,Active,Desktop,example.net,5+,Weekly
CUS00003,2013-11-24,Silver,Value,55+,Mobile,Southbank,1.0,1006.7,False,3006,VIC,Australia,de,Referral,Dormant,Desktop,mail.test,5+,Essential only
CUS00004,2013-10-26,Bronze,Premium,55+,Mobile,Hawthorn,15.0,2231.0,True,3122,VIC,Australia,ru,Store,Active,Mobile,example.net,3-4,Weekly
CUS00005,2015-03-10,Bronze,Value,55+,Web,Docklands,14.0,6573.12,True,3008,VIC,Australia,es,Store,Active,Tablet,inbox.example,3-4,Essential only
CUS00006,2013-03-27,Gold,Small Business,25-34,Web,Carlton,1.0,696.7,True,3053,VIC,Australia,pt,Referral,Active,Tablet,example.net,1,Essential only
CUS00007,2017-06-15,Gold,Value,25-34,Store,Carlton,12.0,6877.79,True,3053,VIC,Australia,pl,Social,Active,Mobile,example.net,5+,Monthly
CUS00008,2014-10-12,Bronze,Small Business,25-34,Store,Southbank,4.0,1889.24,True,3006,VIC,Australia,ar,Social,Active,Mobile,example.net,5+,Weekly
CUS00009,2015-07-01,Bronze,Premium,35-44,Store,Southbank,3.0,3000.79,True,3006,VIC,Australia,it,Social,Active,Mobile,inbox.example,2,Quarterly
CUS00010,2016-01-04,Gold,Value,55+,Mobile,Footscray,1.0,863.61,True,3011,VIC,Australia,fr,Paid Search,Active,Desktop,inbox.example,3-4,Weekly
CUS00011,2013-06-22,Bronze,Small Business,35-44,Mobile,Southbank,2.0,609.42,True,3006,VIC,Australia,es,Organic,Active,Desktop,example.net,5+,Quarterly
CUS00012,2015-12-18,Bronze,Value,55+,Store,Northcote,8.0,2062.65,True,3070,VIC,Australia,ja,Organic,Active,Tablet,example.net,2,Quarterly
CUS00013,2014-09-27,Gold,Premium,35-44,Mobile,Northcote,6.0,5309.34,True,3070,VIC,Australia,ar,Social,Active,Mobile,example.net,3-4,Weekly
