delivery_id,order_id,dispatch_date,promised_date,delivered_date,carrier,service_level,delivery_status,delay_days,on_time_in_full,fulfilment_hours,delivery_cost,delay_reason,promised_days,tracking_event_count,delivery_window,shipping_distance_km,signature_required,estimated_carbon_kg
HDEL000001,HORD000001,2018-03-28,2018-04-01,2018-03-30,StarTrack,Standard,Delivered,0.0,True,41.0,10.69,none,4.0,6.0,Afternoon,7.1393,True,0.486
HDEL000002,HORD000002,2018-12-16,2018-12-21,2018-12-26,Direct Freight,Standard,Delivered,5.0,False,61.0,8.19,weather,5.0,8.0,Anytime,1.9118,True,0.814
HDEL000003,HORD000003,2018-02-22,2018-02-26,2018-02-24,StarTrack,Standard,Delivered,0.0,True,30.0,9.93,none,4.0,6.0,Morning,6.063,False,0.377
HDEL000004,HORD000004,2018-02-20,2018-02-23,2018-02-22,AusPost,Standard,Delivered,0.0,True,65.0,7.96,none,3.0,7.0,Afternoon,4.8578,True,0.575
HDEL000005,HORD000005,2018-11-26,2018-12-01,2018-12-02,StarTrack,Standard,Delivered,1.0,False,23.0,7.7,carrier_capacity,5.0,5.0,Morning,4.7826,True,1.461
HDEL000006,HORD000006,2018-07-13,2018-07-20,2018-07-23,DHL,Standard,Delivered,3.0,False,14.0,11.43,warehouse_congestion,7.0,3.0,Anytime,5.2928,True,0.481
HDEL000007,HORD000007,2018-01-28,2018-02-03,2018-02-02,DHL,Standard,Delivered,0.0,True,16.0,5.89,none,6.0,9.0,Morning,0.5058,True,0.271
HDEL000008,HORD000008,2018-06-03,2018-06-08,2018-06-08,Direct Freight,Standard,Delivered,0.0,True,51.0,9.96,none,5.0,8.0,Anytime,2.5674,False,0.263
HDEL000009,HORD000009,2018-08-30,2018-09-04,2018-09-03,DHL,Express,Delivered,0.0,True,59.0,20.2,none,5.0,9.0,Anytime,3.286,True,0.484
HDEL000010,HORD000010,2018-12-29,2019-01-01,2018-12-30,DHL,Standard,Delivered,0.0,True,33.0,9.31,none,3.0,6.0,Afternoon,5.0456,True,0.443
HDEL000011,HORD000011,2018-01-20,2018-01-27,2018-01-27,StarTrack,Express,Delivered,0.0,True,54.0,14.74,none,7.0,5.0,Afternoon,0.6581,True,0.367
HDEL000012,HORD000012,2018-07-10,2018-07-17,2018-07-15,AusPost,Express,Delivered,0.0,True,19.0,27.21,none,7.0,7.0,Morning,8.0082,False,0.451
HDEL000013,HORD000013,2018-09-08,2018-09-15,2018-09-14,AusPost,Standard,Delivered,0.0,True,41.0,8.56,none,7.0,3.0,Afternoon,4.932,False,0.512
HDEL000014,HORD000014,2018-11-26,2018-12-02,2018-12-01,StarTrack,Express,Delivered,0.0,True,60.0,19.99,none,6.0,3.0,Afternoon,9.7484,False,0.508
HDEL000015,HORD000015,2018-05-10,2018-05-16,2018-05-16,Direct Freight,Standard,Delivered,0.0,True,48.0,5.27,none,6.0,9.0,Afternoon,1.0315,True,0.364
