order_item_id,order_id,product_id,quantity,unit_price,line_revenue
HITM0000001,HORD000001,PRD0795,1.0,808.42,808.42
HITM0000002,HORD000001,PRD0023,1.0,965.26,965.26
HITM0000003,HORD000001,PRD0286,1.0,841.61,841.61
HITM0000004,HORD000002,PRD0604,1.0,1327.89,1327.89
HITM0000005,HORD000002,PRD0286,1.0,841.61,841.61
HITM0000006,HORD000002,PRD0578,2.0,856.24,1712.48
HITM0000007,HORD000002,PRD0110,1.0,250.51,250.51
HITM0000008,HORD000002,PRD0986,1.0,748.03,748.03
HITM0000009,HORD000003,PRD0896,1.0,502.67,502.67
HITM0000010,HORD000003,PRD0332,1.0,560.39,560.39
HITM0000011,HORD000004,PRD0543,1.0,398.13,398.13
HITM0000012,HORD000004,PRD0598,1.0,929.85,929.85
HITM0000013,HORD000004,PRD0841,1.0,2181.2,2181.2
HITM0000014,HORD000004,PRD0373,1.0,572.77,572.77
HITM0000015,HORD000004,PRD0448,1.0,67.35,67.35
HITM0000016,HORD000005,PRD0981,2.0,2272.24,4544.48
HITM0000017,HORD000005,PRD0804,2.0,1164.25,2328.5
HITM0000018,HORD000005,PRD0504,2.0,3837.7,7675.4
HITM0000019,HORD000006,PRD0792,2.0,1745.87,3491.74
HITM0000020,HORD000006,PRD0288,2.0,171.9,343.8
HITM0000021,HORD000006,PRD0231,1.0,2034.99,2034.99
HITM0000022,HORD000006,PRD0526,3.0,149.19,447.57
HITM0000023,HORD000007,PRD0789,1.0,106.8,106.8
HITM0000024,HORD000007,PRD0642,3.0,790.1,2370.3
HITM0000025,HORD000008,PRD0750,1.0,203.37,203.37
HITM0000026,HORD000009,PRD0999,1.0,464.57,464.57
HITM0000027,HORD000009,PRD0367,2.0,1853.15,3706.3
HITM0000028,HORD000009,PRD0533,1.0,1215.39,1215.39
HITM0000029,HORD000010,PRD0883,1.0,1065.61,1065.61
HITM0000030,HORD000010,PRD0575,1.0,357.22,357.22
HITM0000031,HORD000010,PRD0135,2.0,800.53,1601.06
HITM0000032,HORD000011,PRD0862,1.0,1387.19,1387.19
HITM0000033,HORD000011,PRD0549,2.0,1361.68,2723.36
HITM0000034,HORD000011,PRD0410,1.0,328.86,328.86
HITM0000035,HORD000011,PRD0006,1.0,813.94,813.94
HITM0000036,HORD000011,PRD0235,2.0,510.44,1020.88
HITM0000037,HORD000012,PRD0323,2.0,786.71,1573.42
HITM0000038,HORD000012,PRD0570,2.0,98.43,196.86
HITM0000039,HORD000013,PRD0389,1.0,197.05,197.05
HITM0000040,HORD000013,PRD0436,1.0,99.16,99.16
HITM0000041,HORD000013,PRD0517,1.0,1366.6,1366.6
HITM0000042,HORD000014,PRD0370,1.0,143.48,143.48
HITM0000043,HORD000014,PRD0399,1.0,628.54,628.54
HITM0000044,HORD000014,PRD0772,1.0,546.46,546.46
HITM0000045,HORD000015,PRD0832,1.0,646.88,646.88
HITM0000046,HORD000015,PRD0138,1.0,316.0,316.0
HITM0000047,HORD000015,PRD0121,1.0,3098.72,3098.72
HITM0000048,HORD000016,PRD0210,2.0,91.62,183.24
HITM0000049,HORD000016,PRD0727,2.0,1546.58,3093.16
HITM0000050,HORD000016,PRD0984,1.0,759.8,759.8
HITM0000051,HORD000017,PRD0163,2.0,1539.62,3079.24
HITM0000052,HORD000017,PRD0365,1.0,884.05,884.05
