product_id,product_name,category,brand,unit_price,unit_cost,launch_year,warranty_months,weight_kg,product_sku,subcategory,model_family,colour,supplier_id,supplier_country,launch_date,tax_category,package_type,recyclable_packaging,active_flag
PRD0001,Candle Bloom 100,Laptop,Candle,942.83,596.63,2015.0,24.0,1.281,SKU-CAN00001,Ultrabook,Arc,Red,SUP001,Korea,2015-01-25,GST_STANDARD,Recycled box,True,True
PRD0002,Vela Halo 101,Smartphone,Vela,684.63,485.48,2012.0,24.0,0.276,SKU-VEL00002,5G Smartphone,Atlas,Red,SUP002,Malaysia,2012-04-06,GST_STANDARD,Recycled box,True,True
PRD0003,Candle Quest 102,Tablet,Candle,745.86,411.3,2012.0,24.0,0.479,SKU-CAN00003,Productivity Tablet,Bloom,Black,SUP003,Vietnam,2012-04-17,GST_STANDARD,Protective case,True,True
PRD0004,Vela Wave 103,Home Entertainment,Vela,466.88,243.71,2013.0,24.0,7.232,SKU-VEL00004,Smart Display,Core,Graphite,SUP004,Korea,2013-01-26,GST_STANDARD,Protective case,True,True
PRD0005,Candle Edge 104,Audio,Candle,450.36,247.02,2015.0,12.0,0.645,SKU-CAN00005,Wireless Audio,Edge,Graphite,SUP005,Japan,2015-08-15,GST_STANDARD,Protective case,False,True
PRD0006,Vela Nova 105,Smart Home,Vela,813.94,492.41,2015.0,12.0,0.467,SKU-VEL00006,Home Automation,Echo,Black,SUP006,Japan,2015-01-13,GST_STANDARD,Box,True,True
PRD0007,Candle Shift 106,Gaming,Candle,775.64,374.69,2017.0,24.0,1.56,SKU-CAN00007,Gaming Hardware,Flux,Gold,SUP007,Malaysia,2017-06-23,GST_STANDARD,Recycled box,False,True
PRD0008,Vela Atlas 107,Wearable,Vela,799.44,468.8,2017.0,12.0,0.093,SKU-VEL00008,Health Wearable,Halo,Gold,SUP008,China,2017-07-17,GST_STANDARD,Box,True,True
PRD0009,Candle Flux 108,Networking,Candle,1102.1,628.91,2015.0,24.0,0.636,SKU-CAN00009,Connected Network,Lumen,Green,SUP009,Vietnam,2015-03-01,GST_STANDARD,Protective case,True,True
PRD0010,Vela Pulse 109,Accessory,Vela,15.97,10.15,2016.0,12.0,0.16,SKU-VEL00010,Mobile Accessory,Nova,Green,SUP010,China,2016-04-14,GST_STANDARD,Recycled box,False,True
PRD0011,Candle Vista 110,Laptop,Candle,1706.96,1181.78,2015.0,24.0,1.233,SKU-CAN00011,Ultrabook,Orbit,Gold,SUP011,Malaysia,2015-02-12,GST_STANDARD,Recycled box,True,True
PRD0012,Vela Core 111,Smartphone,Vela,1367.99,682.84,2015.0,24.0,0.272,SKU-VEL00012,5G Smartphone,Pulse,Blue,SUP012,Australia,2015-09-15,GST_STANDARD,Box,True,True
PRD0013,Candle Lumen 112,Tablet,Candle,1194.01,671.48,2015.0,24.0,0.62,SKU-CAN00013,Productivity Tablet,Quest,Silver,SUP013,Malaysia,2015-12-01,GST_STANDARD,Recycled box,True,True
